一,イチ、イツ,ひと-、ひと.つ,"かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと",one,"""一人(ひとり): (1) one person (2) alone; unmarried; solitary<br />一昨年(おととし): year before last<br />一つ(ひとつ): (1) one (2) for one thing (often used in itemized lists) (3) (after a noun) only (4) (with a verb in negative form) (not) even (5) just (i.e. """"just try it"""")<br />一番(いちばん): (1) best; first; number one (2) game; round; bout; fall; event (in a meet)<br />一部(いちぶ): (1) one part; one portion; one section; some (2) one copy (e.g. of a document)<br />一方(いっぽう): (1) one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party (2) on the one hand; on the other hand (3) whereas; although; but at the same time; meanwhile; in turn (4) (after noun, adjective-stem or plain verb) just keeps; being inclined to ...; tending to be ...; tending to do ...; continuously ...; just keeps on ...ing; only<br />一緒(いっしょ): (1) together (2) at the same time (3) same; identical<br />一層(いっそう): (1) much more; still more; all the more; more than ever (2) single layer (or storey, etc.) (3) rather; sooner; preferably<br />一定(いってい): fixed; settled; constant; definite; uniform; regularized; regularised; defined; standardized; standardised; certain; prescribed<br />一切(いっさい): (1) all; everything; the whole; lock, stock, and barrel (2) absolutely not (with negative); without exception; entirely not<br />一生(いっしょう): (1) whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era (2) (the only, the greatest, etc.) of one's life<br />一言(ひとこと): single word; a few words; brief comment<br />一帯(いったい): region; zone; whole place<br />一同(いちどう): all present; all concerned; all of us<br />一度(いちど): (1) once; one time; on one occasion (2) temporarily; for a moment (3) one degree; one tone; one musical interval<br />一斉(いっせい): simultaneous; all at once<br />一昨日(おととい): day before yesterday<br />一日(いちにち): (1) first day of the month (2) one day<br />一度に(いちどに): all at once<br />一日(ついたち): (1) first day of the month (2) first ten days of the lunar month<br />一月(ひとつき): one month<br />""",5,1,2,"一: one, one radical (no. 1)",1,一,1,1,いち,(none),指事 Ideographic,one,"One down, 2041 to go. ;).","""To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for """"one"""", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar.""",1,JLPT.N5 Kanji_Counting Kanji_Physical.Properties_Shape.Size grade1 kanjifreq1-250
二,ニ、ジ,ふた、ふた.つ、ふたたび,"おと, つぐ, にい, は, ふ, ふたつ, ふだ, わ",two,二(に): two<br>二人(ふたり): two persons; two people; pair; couple<br>二つ(ふたつ): two<br>二十歳(はたち): (1) 20 years old (2) twenty<br>二階建て(にかいだて): two-storied building<br>真っ二つ(まっぷたつ): in two equal parts<br>二日(ふつか): (1) second day of the month (2) two days<br>二十日(はつか): (1) twentieth (day of the month) (2) twenty days,5,1,9,"二: two, two radical (no. 7)",2,二,7,2,に・ふた,(none),指事 Ideographic,two,Two lines.,"Roman numeral II, written on its side.",2,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
三,サン、ゾウ,み、み.つ、みっ.つ,"か, さ, さい, さえ, さぶ, ざ, ざえ, ざぶ, そう, ぞ, ただ, みつ, みん, も, や",three,三(さん): (1) three (2) tri-<br>三つ(みっつ): three<br>再三(さいさん): again and again; repeatedly<br>三角(さんかく): triangle; triangular<br>三味線(しゃみせん): three-stringed Japanese guitar; shamisen<br>三日月(みかづき): new moon; crescent moon<br>三日(みっか): (1) the third day of the month (2) three days,5,1,14,一: one; one radical (no.1)<br>一: one; one radical (no.1)<br>一: one; one radical (no.1),3,一,1,1,いち,(none),指事 Ideographic,three,One + two = three.,"THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.",3,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
四,シ,よ、よ.つ、よっ.つ、よん,"あ, つ, よつ",four,四(し): four<br>四つ(よっつ): four<br>四季(しき): four seasons<br>四角い(しかくい): square; rectangular<br>四角(しかく): square<br>四捨五入(ししゃごにゅう): rounding half up (i.e. fractions)<br>四つ角(よつかど): four corners; crossroads<br>四日(よっか): (1) fourth day of month (2) four days,5,1,47,囗: box or enclosure radical (no. 31); box<br>八: eight; eight radical (no. 12),5,囗,31,3,くに・くにがまえ,(none),指事 Ideographic,four,FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.,"I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?",4,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
五,ゴ,いつ、いつ.つ,"い, さ, さつ, ち, ふ, み, め",five,"五(ご): five<br>五つ(いつつ): five<br>五十音(ごじゅうおん): the Japanese syllabary<br>四捨五入(ししゃごにゅう): rounding half up (i.e. fractions)<br>五日(いつか): (1) the fifth day of the month (2) five days<br>五味(ごみ): (1) five flavors (sweet, salty, spicy, sour, bitter); five palates; five tastes (2) five flavors (milk at various stages of making ghee: fresh milk, cream, curdled milk, butter, and ghee); the five periods of the Buddha's teachings",5,1,31,二: two; two radical (no.2),4,二,7,2,に・ふた,(none),仮借 Loan,five,三 + two vertical lines = 5.,"""This Kanji looks like a """"3"""" Kanji with two added vertical lines. 3+2= 5.""",5,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
六,ロク、リク,む、む.つ、むっ.つ、むい,"く, むつ, ろっ, ろつ",six,六(ろく): six<br>六日(むいか): (1) sixth day of the month (2) six days<br>六つ(むっつ): six,5,1,93,亠: kettle lid radical (no. 8)<br>八: eight; eight radical (no. 12),4,八,12,2,はち・は・はちがしら,(none),仮借 Loan,six,"Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.",Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.,6,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
七,シチ,なな、なな.つ、なの,"し, しっ, な, ひち",seven,七(しち): (1) seven (2) hepta-<br>七つ(ななつ): seven<br>七日(なのか): (1) the seventh day of the month (2) seven days,5,1,115,一: one; one radical (no.1)<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5),2,一,1,1,いち,(none),仮借 Loan,seven,"This kanji is our good old seven, turned upside down.",I wrote it upside down so I crossed it out.,7,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
八,ハチ,や、や.つ、やっ.つ、よう,"な, は, はっ, はつ, やち, やつ",eight,八(はち): eight<br>八百屋(やおや): greengrocer<br>八日(ようか): (1) the eighth day of the month (2) eight days<br>八つ(やっつ): eight<br>お八つ(おやつ): (1) between meal snack (2) mid-afternoon (around 3 o'clock) snack; afternoon refreshment; afternoon tea,5,1,92,"八: eight, eight radical (no. 12)",2,八,12,2,はち・は・はちがしら,(none),指事 Ideographic,eight,"""Hachi (eight) begins with the sound of the katakana """"ha"""", and it´s approximately the same character.""",The valcano hasn´t erupted for 8 years.,8,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
九,キュウ、ク,ここの、ここの.つ,"いちじく, いちのく, この, ひさし",nine,九(きゅう): nine<br>九つ(ここのつ): nine<br>九日(ここのか): (1) the ninth day of the month (2) nine days,5,1,55,丿: katakana no radical (no. 4)<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5),2,乙,5,1,おつ・おつにょう・つりばり,(none),象形 Pictographic,nine,Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.,"Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.",9,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
十,ジュウ、ジッ、ジュッ,とお、と,"い, か, ぎ, さ, し, そ, そう, ち, とう, ね, ま, る, わ",ten,十(じゅう): 10; ten<br>十分(じゅうぶん): (1) plenty; enough; sufficient; satisfactory; adequate (2) division into ten (3) perfectly; thoroughly; fully; in full<br>十日(とおか): (1) the tenth day of the month (2) ten days<br>二十歳(はたち): (1) 20 years old (2) twenty<br>五十音(ごじゅうおん): the Japanese syllabary<br>十字路(じゅうじろ): crossroads<br>二十日(はつか): (1) twentieth (day of the month) (2) twenty days<br>十分(じっぷん): 10 minutes,5,1,8,"十: ten, ten radical (no. 24)",2,十,24,2,じゅう・じゅうへん,(none),指事 Ideographic,ten,"Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).",I scared away ten vampires with a single cross!,10,JLPT.N5 Kanji_Counting grade1 kanjifreq1-250
